_ 0:,
0 1:1>1,
C2 2:1>1,2>1,
C3 3:1>1,3>2,
C4 4:1>1,2>1,4>2,
D2 4:1>1,2>3,
C5 5:1>1,5>4,
C6 6:1>1,2>1,3>2,6>2,
D3 6:1>1,2>3,3>2,
C7 7:1>1,7>6,
C4.C2 8:1>1,2>3,4>4,
C2^3 8:1>1,2>7,
D4 8:1>1,2>5,4>2,
C8 8:1>1,2>1,4>2,8>4,
Qr 8:1>1,2>1,4>6,
C3^2 9:1>1,3>8,
C9 9:1>1,3>2,9>6,
C10 10:1>1,2>1,5>4,10>4,
D5 10:1>1,2>5,5>4,
C11 11:1>1,11>10,
C6.C2 12:1>1,2>3,3>2,6>6,
C12 12:1>1,2>1,3>2,4>2,6>2,12>4,
G12 12:1>1,2>1,3>2,4>6,6>2,
A4 12:1>1,2>3,3>8,
D6 12:1>1,2>7,3>2,6>2,
D7 14:1>1,2>7,7>6,
C15 15:1>1,3>2,5>4,15>8,
Qr.C2 16:1>1,2>3,4>12,
C4.D2 16:1>1,2>7,4>8,
D4.C2 16:1>1,2>11,4>4,
C2^4 16:1>1,2>15,
C16 16:1>1,2>1,4>2,8>4,15>8,
Hx 16:1>1,2>5,4>6,8>4,
D8 16:1>1,2>9,4>2,8>4,
C6.C3 18:1>1,2>1,3>8,6>8,
C3.D3 18:1>1,2>3,3>8,6>6,
G18 18:1>1,2>9,3>8,
D9 18:1>1,2>9,3>2,9>6,
D2.C5 20:1>1,2>3,5>4,10>12,
D5.C2 20:1>1,2>11,5>4,10>4,
C20 20:1>1,2>1,4>2,5>4,10>4,20>8,
G20 20:1>1,2>5,4>10,5>4,
D10 20:1>1,2>7,5>4,
C21 21:1>1,3>14,7>6,
G12.C2 24:1>1,2>3,3>2,4>12,6>6,
Qr.C3 24:1>1,2>1,3>2,4>6,6>2,12>12,
A4.C2 24:1>1,2>7,3>8,6>8,
C6.D2 24:1>1,2>7,3>2,4>8,6>2,12>4,
D6.C2 24:1>1,2>15,3>2,6>6,
F24 24:1>1,2>1,3>8,4>6,6>8,
K24 24:1>1,2>5,3>2,4>2,6>10,12>4,
L24 24:1>1,2>9,3>2,4>6,6>6,
I24 24:1>1,2>13,3>2,4>2,6>2,12>4,
S4 24:1>1,2>9,3>8,4>6,
D7.C2 28:1>1,2>15,7>6,14>6,
C7.D2 28:1>1,2>3,7>6,14>18,
Qr.C4 32:1>1,2>3,4>28,
Qr.D2 32:1>1,2>7,4>24,
D4.C4 32:1>1,2>11,4>20,
D4.D2 32:1>1,2>23,4>8,
Hx.C2 32:1>1,2>11,4>12,8>8,
D8.C2 32:1>1,2>19,4>4,8>8,
F32  32:1>1,2>19,4>12,
G32  32:1>1,2>15,4>8,8>8,
G12.C3 36:1>1,2>1,3>8,4>6,6>8,12>12,
G18.C2 36:1>1,2>19,3>8,6>8,
D9.C2 36:1>1,2>19,3>2,6>2,9>6,18>6,
D6.C3 36:1>1,2>7,3>8,6>20,
A4.C3 36:1>1,2>3,3>26,6>6,
D3^2 36:1>1,2>15,3>8,6>12,
G36 36:1>1,2>3,3>8,6>24,
